"Order","Price","LotFrontage","LotArea","LotConfig","HouseStyle","Quality","Condition","YearBuilt","YearRemodel","ExteriorQ","ExteriorC","Foundation","BasementHt","BasementC","BasementFin","BasementFinSF","BasementUnFinSF","BasementSF","Heating","HeatingQC","CentralAir","FirstSF","SecondSF","GroundSF","BasementFBath","BasementHBath","FullBath","HalfBath","Bedroom","KitchenQ","TotalRooms","Fireplaces","GarageType","GarageCars","GarageSF","GarageQ","GarageC","WoodDeckSF","OpenPorchSF","EnclosedPorchSF","ScreenPorchSF"
1578,167.5,73,9735,"Inside","SLvl",5,5,2006,2007,"TA","TA","PConc","Gd","TA","Unf",0,384,384,"GasA","Gd","Y",754,640,1394,0,0,2,1,3,"Gd",7,0,"BuiltIn",2,400,"TA","TA",100,0,0,0
2602,155.5,60,7200,"Inside","2Story",6,8,1915,1950,"TA","Ex","CBlock","TA","TA","Rec",338,325,663,"GasA","Ex","Y",774,821,1595,0,0,2,0,3,"TA",7,1,"Detchd",2,528,"TA","TA",49,0,231,0
2924,160,80,17400,"Inside","1Story",5,5,1977,1977,"TA","TA","CBlock","TA","TA","ALQ",936,190,1126,"GasA","Fa","Y",1126,0,1126,1,0,2,0,3,"TA",5,1,"Attchd",2,484,"TA","TA",295,41,0,0
724,124.9,98,8820,"Corner","1.5Fin",5,6,1890,1996,"TA","TA","BrkTil","TA","TA","LwQ",1088,0,1088,"GasA","TA","Y",1188,561,1869,0,0,1,0,2,"TA",7,0,"Detchd",2,456,"TA","TA",48,0,244,0
1175,223,79,10646,"Corner","2Story",7,5,2001,2001,"TA","TA","PConc","TA","TA","GLQ",681,177,858,"GasA","Ex","Y",872,917,1789,1,0,2,1,3,"TA",7,1,"Attchd",2,546,"TA","TA",0,0,0,0
1812,191.75,0,11613,"Corner","2Story",6,5,1993,1997,"Gd","TA","PConc","Gd","TA","ALQ",480,384,864,"GasA","Ex","Y",920,900,1820,0,0,2,1,3,"Gd",7,0,"Attchd",2,492,"TA","TA",144,85,0,0
2696,91,60,9786,"Inside","1Story",3,4,1922,1950,"TA","TA","BrkTil","TA","Fa","Unf",0,1007,1007,"GasA","Fa","N",1077,0,1077,0,0,1,0,3,"TA",6,1,"Detchd",1,210,"TA","Fa",0,100,48,0
2649,105,60,7200,"Inside","1Story",4,5,1950,1950,"TA","TA","CBlock","TA","TA","Unf",0,576,576,"GasA","Ex","Y",864,0,864,0,0,1,0,2,"TA",5,0,"Detchd",1,528,"TA","TA",0,0,0,115
16,538,47,53504,"CulDSac","2Story",8,5,2003,2003,"Ex","TA","PConc","Gd","TA","ALQ",1416,234,1650,"GasA","Ex","Y",1690,1589,3279,1,0,3,1,4,"Ex",12,1,"BuiltIn",3,841,"TA","TA",503,36,0,210
608,145.1,115,10500,"Inside","1Story",5,5,1964,1964,"TA","Gd","CBlock","TA","TA","LwQ",998,294,1292,"GasA","TA","Y",1292,0,1292,1,0,1,1,3,"TA",6,2,"Detchd",2,520,"TA","TA",0,32,0,92
814,148.325,64,7040,"Inside","SFoyer",5,5,1979,1979,"TA","TA","CBlock","Gd","TA","GLQ",1094,0,1094,"GasA","TA","Y",1229,0,1229,2,0,0,2,2,"Gd",6,2,"Detchd",2,672,"TA","TA",120,0,0,0
2316,185,70,11207,"FR2","2Story",6,5,1997,1997,"TA","TA","PConc","Gd","TA","GLQ",714,88,802,"GasA","Gd","Y",802,709,1511,1,0,2,1,3,"TA",8,1,"Attchd",2,413,"TA","TA",95,75,0,0
2847,140,60,8400,"Inside","1.5Fin",6,5,1940,2000,"TA","TA","CBlock","TA","TA","LwQ",388,552,940,"GasA","Ex","Y",1192,403,1595,0,0,1,0,2,"TA",6,2,"Attchd",1,240,"TA","TA",0,0,108,0
271,232,48,10635,"FR2","1Story",8,5,2003,2003,"Gd","TA","PConc","Gd","TA","BLQ",370,315,1657,"GasA","Ex","Y",1668,0,1668,1,0,2,0,3,"Gd",8,1,"Attchd",2,502,"TA","TA",0,262,0,0
1371,135,60,10320,"Inside","1.5Fin",6,7,1906,1995,"TA","TA","CBlock","TA","TA","Unf",0,756,756,"GasA","Ex","Y",756,713,1469,0,0,1,0,3,"TA",7,0,"Detchd",1,216,"TA","TA",57,0,239,0
184,150,60,9600,"Corner","2Story",8,9,1900,2003,"Gd","Gd","BrkTil","TA","TA","Unf",0,930,930,"GasW","TA","N",930,636,1566,0,0,2,0,3,"Gd",7,0,"Detchd",1,288,"TA","TA",54,228,246,0
1506,120,60,12180,"Inside","1.5Fin",5,7,1938,2007,"TA","TA","PConc","TA","TA","Unf",0,585,585,"GasA","Gd","Y",585,468,1053,0,0,1,1,2,"Ex",5,0,"None",0,0,"None","None",42,0,0,0
645,126,67,13070,"Corner","1Story",5,5,1951,1951,"TA","TA","CBlock","TA","TA","Rec",308,323,631,"GasA","TA","Y",1112,0,1112,0,0,1,0,2,"TA",5,0,"Basment",2,480,"TA","TA",0,0,0,255
70,262.5,75,9000,"Inside","1Story",8,5,2008,2008,"Gd","TA","PConc","Gd","TA","GLQ",1078,488,1566,"GasA","Ex","Y",1566,0,1566,1,0,2,0,3,"Gd",7,0,"Attchd",2,750,"TA","TA",144,168,0,0
1968,141,80,8000,"Corner","1Story",5,4,1961,1961,"TA","TA","CBlock","TA","TA","Unf",0,1800,1800,"GasA","Ex","N",1800,0,1800,0,0,2,0,6,"TA",10,0,"None",0,0,"None","None",0,0,0,0
1342,79,99,5940,"FR3","1Story",4,7,1946,1950,"TA","TA","PConc","0","0","0",0,0,0,"GasA","TA","Y",896,0,896,0,0,1,0,2,"TA",4,0,"Detchd",1,280,"TA","TA",0,0,0,0
869,211,0,11250,"Corner","2Story",7,5,2001,2001,"Gd","TA","PConc","Gd","TA","Unf",0,944,944,"GasA","Ex","Y",944,926,1870,0,0,2,1,3,"Gd",6,0,"Attchd",2,608,"TA","TA",256,43,0,0
1708,342,99,13069,"Inside","2Story",8,5,2004,2004,"Gd","TA","PConc","Gd","TA","Unf",0,1706,1706,"GasA","Ex","Y",1718,1238,2956,0,0,2,1,5,"Ex",11,1,"BuiltIn",3,916,"TA","TA",194,50,0,0
2548,157.5,85,9350,"Inside","2Story",5,6,1964,1964,"TA","TA","CBlock","TA","TA","ALQ",360,360,720,"GasA","Gd","Y",720,720,1440,0,0,1,1,4,"TA",7,1,"Attchd",2,480,"TA","TA",0,32,240,0
1778,320,84,11670,"Corner","1Story",9,5,2006,2006,"Ex","TA","PConc","Ex","Gd","Unf",0,1905,1905,"GasA","Ex","Y",1905,0,1905,0,0,2,0,3,"Ex",8,1,"Attchd",3,788,"TA","TA",0,191,0,0
1286,157.5,60,10440,"Inside","2Story",5,8,1904,2002,"TA","TA","PConc","TA","TA","Unf",0,650,650,"GasA","Gd","Y",958,581,1539,0,0,2,0,3,"Gd",8,1,"Detchd",2,686,"Gd","TA",70,78,68,0
1507,96,57,8050,"Inside","1.5Fin",5,8,1947,1993,"TA","Gd","Slab","None","None","None",0,0,0,"GasA","Gd","Y",929,208,1137,0,0,1,1,4,"TA",8,0,"None",0,0,"None","None",0,0,0,0
1368,79.9,60,5586,"Inside","1.5Fin",6,7,1920,1998,"TA","TA","BrkTil","TA","TA","Unf",0,901,901,"GasA","Gd","Y",1088,110,1198,0,0,1,0,4,"TA",7,0,"None",0,0,"None","None",0,98,0,0
574,172.5,24,2645,"Inside","2Story",8,5,1999,2000,"Gd","TA","PConc","Gd","TA","GLQ",649,321,970,"GasA","Ex","Y",983,756,1739,1,0,2,1,3,"Gd",7,0,"Attchd",2,480,"TA","TA",115,0,0,0
2433,178,74,9056,"Inside","2Story",8,5,2004,2004,"Gd","TA","PConc","Ex","Gd","Unf",0,707,707,"GasA","Ex","Y",707,707,1414,0,0,2,1,3,"Gd",6,1,"Attchd",2,403,"TA","TA",100,35,0,0
1489,147.5,75,9937,"Inside","1Story",5,6,1965,1965,"Gd","TA","CBlock","TA","TA","BLQ",830,136,1256,"GasA","Gd","Y",1256,0,1256,1,0,1,1,3,"TA",6,0,"Attchd",1,276,"TA","TA",736,68,0,0
2874,145.4,50,7000,"Inside","1.5Fin",6,7,1926,1950,"TA","TA","PConc","TA","TA","ALQ",374,487,861,"GasA","Ex","Y",861,424,1285,0,1,1,0,3,"TA",6,0,"Detchd",2,506,"TA","TA",96,0,132,0
1350,68.5,60,6324,"Inside","1Story",4,6,1927,1950,"TA","TA","BrkTil","TA","TA","Unf",0,520,520,"GasA","Fa","N",520,0,520,0,0,1,0,1,"Fa",4,0,"Detchd",1,240,"Fa","TA",49,0,87,0
2784,174,42,10385,"CulDSac","SLvl",6,6,1978,1978,"TA","TA","CBlock","TA","Gd","ALQ",595,0,995,"GasA","TA","Y",1282,0,1282,0,1,2,0,3,"TA",6,0,"Detchd",3,672,"Fa","TA",386,0,0,0
1810,181,65,7441,"Inside","1Story",7,5,2006,2006,"Gd","TA","PConc","Gd","TA","Unf",0,1461,1461,"GasA","Ex","Y",1486,0,1486,0,0,2,0,3,"Gd",7,0,"Attchd",2,566,"TA","TA",0,32,0,0
2560,146.5,89,10858,"Corner","1Story",5,6,1952,1952,"TA","Gd","CBlock","TA","TA","LwQ",40,1404,1444,"GasA","Ex","Y",1624,0,1624,1,0,1,0,2,"TA",6,1,"Attchd",1,240,"TA","TA",0,40,324,0
1291,139.5,60,6000,"Inside","2.5Unf",6,7,1915,2005,"Gd","TA","BrkTil","TA","TA","Unf",0,728,728,"GasA","Gd","Y",728,728,1456,0,0,1,1,4,"Gd",7,0,"Detchd",1,308,"Fa","Fa",0,0,248,0
857,136.5,0,7000,"CulDSac","1Story",5,8,1978,2005,"Gd","Gd","CBlock","TA","TA","ALQ",646,218,864,"GasA","Ex","Y",864,0,864,1,0,1,0,3,"TA",6,0,"Attchd",1,336,"TA","TA",0,0,0,0
811,118.858,64,7018,"Inside","1Story",5,5,1979,1979,"TA","TA","Slab","None","None","None",0,0,0,"GasA","TA","Y",1535,0,1535,0,0,2,0,4,"TA",8,0,"Attchd",2,400,"TA","TA",0,0,0,0
742,133,51,6120,"Inside","1.5Fin",4,7,1935,1995,"TA","TA","BrkTil","TA","TA","Unf",0,884,884,"GasA","Ex","Y",989,584,1573,0,0,1,0,3,"Gd",6,0,"Detchd",1,240,"TA","TA",0,0,54,120
1028,292.5,0,12511,"Corner","2Story",7,7,1978,1978,"Gd","TA","PConc","Gd","TA","ALQ",988,432,1420,"GasA","Ex","Y",1420,1420,2840,0,1,2,1,4,"Gd",8,2,"Attchd",4,1314,"TA","Gd",0,16,0,208
2328,239,44,5306,"Inside","2Story",7,7,1987,1987,"Gd","Gd","PConc","Gd","Gd","GLQ",495,354,1064,"GasA","Gd","Y",1064,703,1767,1,0,2,0,2,"Gd",5,1,"Attchd",2,504,"Gd","TA",441,35,0,0
2325,165.6,0,7685,"Inside","2Story",6,5,1993,1994,"TA","TA","PConc","Gd","TA","ALQ",518,179,697,"GasA","Gd","Y",697,804,1501,0,0,2,1,3,"Gd",6,1,"Attchd",2,420,"TA","TA",190,63,0,0
986,143,85,14115,"Inside","1.5Fin",5,5,1993,1995,"TA","TA","Wood","Gd","TA","GLQ",732,64,796,"GasA","Ex","Y",796,566,1362,1,0,1,1,1,"TA",5,0,"Attchd",2,480,"TA","TA",40,30,0,0
2614,120,60,7332,"Inside","1Story",6,6,1959,1959,"TA","TA","CBlock","TA","TA","BLQ",414,450,864,"GasA","Ex","Y",864,0,864,1,0,1,0,2,"Gd",4,0,"Attchd",1,288,"TA","TA",168,0,0,0
2470,187.75,60,7200,"Inside","1Story",7,5,2006,2006,"Gd","TA","PConc","Gd","Gd","Unf",0,1293,1293,"GasA","Ex","Y",1301,0,1301,1,0,2,0,2,"Gd",5,1,"Attchd",2,572,"TA","TA",216,121,0,0
2550,150,69,8973,"Inside","1Story",5,7,1958,1991,"TA","TA","CBlock","TA","TA","Rec",567,413,1008,"GasA","TA","Y",1053,0,1053,0,1,1,1,3,"Ex",6,0,"2Types",2,750,"TA","TA",0,80,0,0
2458,290,85,10182,"CulDSac","1Story",8,5,2006,2006,"Gd","TA","PConc","Ex","TA","GLQ",1220,440,1660,"GasA","Ex","Y",1660,0,1660,1,0,2,0,3,"Gd",8,1,"Attchd",2,500,"TA","TA",322,50,0,0
1140,182,65,8453,"Inside","2Story",6,5,1995,1995,"Gd","TA","PConc","Gd","TA","GLQ",362,392,754,"GasA","Ex","Y",754,855,1609,0,0,2,1,3,"Gd",6,0,"Attchd",2,525,"TA","TA",0,70,0,0
2725,168,0,14175,"Corner","1Story",5,6,1956,1987,"TA","TA","CBlock","TA","TA","Rec",988,200,1188,"GasA","Gd","Y",1437,0,1437,1,0,1,1,3,"TA",6,1,"Detchd",2,576,"TA","TA",304,0,0,0
760,70,86,5160,"Inside","SFoyer",4,6,1923,1950,"TA","Gd","PConc","Gd","Fa","BLQ",749,46,858,"GasA","TA","Y",892,0,892,1,0,1,0,1,"Gd",5,0,"None",0,0,"None","None",0,0,105,160
1523,161.9,64,7804,"Inside","2.5Unf",6,7,1930,1950,"TA","TA","BrkTil","TA","TA","ALQ",281,0,960,"GasA","Ex","Y",960,960,1920,2,0,2,2,4,"TA",10,2,"Detchd",2,480,"TA","TA",248,0,121,0
1361,136,60,10266,"Inside","2Story",6,6,1952,1952,"TA","TA","CBlock","TA","TA","Rec",372,396,768,"GasA","TA","Y",768,768,1536,0,0,1,1,4,"TA",7,0,"Detchd",1,308,"TA","TA",0,216,80,0
1221,52,56,4130,"Inside","1Story",3,6,1935,2003,"Gd","TA","CBlock","TA","TA","Unf",0,270,270,"GasA","Gd","Y",729,0,729,0,0,1,0,2,"TA",5,0,"None",0,0,"None","None",0,0,0,0
1386,108.959,60,12900,"Inside","SFoyer",4,4,1969,1969,"TA","TA","CBlock","Gd","TA","GLQ",1198,0,1198,"GasA","TA","Y",1258,0,1258,2,0,0,2,0,"TA",6,0,"CarPort",2,400,"Fa","TA",120,0,0,0
33,127.5,53,4043,"Inside","1Story",6,5,1977,1977,"TA","TA","CBlock","Gd","TA","ALQ",360,709,1069,"GasA","TA","Y",1069,0,1069,0,0,2,0,2,"TA",4,1,"Attchd",2,440,"TA","TA",0,55,0,165
2910,127,41,2665,"Inside","2Story",5,6,1977,1977,"TA","TA","PConc","TA","TA","ALQ",548,36,757,"GasA","Ex","Y",925,550,1475,0,0,2,0,4,"TA",6,1,"Attchd",1,336,"TA","TA",104,26,0,0
2189,108.5,62,10042,"Corner","1.5Fin",6,8,1920,1995,"TA","TA","BrkTil","TA","TA","LwQ",144,238,660,"GasA","TA","Y",740,125,865,1,0,1,0,2,"TA",4,1,"Detchd",1,216,"TA","TA",0,0,84,0
1929,130,70,12198,"Inside","1Story",5,6,1955,1975,"TA","TA","CBlock","TA","TA","Rec",780,424,1204,"GasA","TA","Y",1411,0,1411,0,0,1,0,3,"TA",7,1,"Attchd",1,310,"TA","TA",278,82,0,0
2688,129,60,9873,"Inside","1Story",4,5,1970,1970,"TA","TA","CBlock","TA","TA","ALQ",789,171,960,"GasW","TA","N",960,0,960,1,0,1,0,3,"TA",6,0,"Detchd",2,576,"TA","TA",0,288,0,0
1529,231,54,7609,"Corner","2Story",8,9,1925,1997,"Gd","Gd","PConc","Fa","TA","ALQ",406,392,798,"GasA","Ex","Y",798,714,1512,1,0,2,0,3,"Gd",7,1,"Detchd",1,180,"TA","TA",85,16,41,0
